Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,City,Gender,Top_Category
CUST1004,312,1,8321.54,1,1,1,111,Lost,Bengaluru,Female,Electronics
CUST1017,261,1,264230.68,2,1,5,215,Promising,Pune,Female,Fashion
CUST1026,95,1,164965.29,4,1,4,414,Potential Loyalists,Kolkata,Female,Education
CUST1032,249,1,146990.9,2,1,4,214,Promising,Pune,Female,Electronics
CUST1038,241,1,37068.4,2,1,1,211,Promising,Patna,Male,Grocery
CUST1049,299,1,16714.64,1,1,1,111,Lost,Hyderabad,Female,Education
CUST1088,128,1,203819.75,4,1,4,414,Potential Loyalists,Patna,Male,Fashion
CUST1090,2,1,5263.79,5,1,1,511,Potential Loyalists,,Female,Fashion
CUST1094,196,1,211945.9,3,1,4,314,Potential Loyalists,Patna,Female,Electronics
CUST1104,275,1,90746.36,2,1,3,213,Promising,Hyderabad,Female,Education
CUST1106,298,1,51838.36,1,1,2,112,Lost,Patna,Male,Grocery
CUST1113,303,1,181063.26,1,1,4,114,Lost,Gaya,Female,Fashion
CUST1122,53,1,122431.8,5,1,3,513,Potential Loyalists,Kolkata,Female,Grocery
CUST1124,208,1,362370.56,3,1,5,315,Potential Loyalists,Patna,Female,Grocery
CUST1149,107,1,340749.52,4,1,5,415,Potential Loyalists,Hyderabad,Female,Electronics
CUST1159,41,1,82567.7,5,1,2,512,Potential Loyalists,Pune,Male,Electronics
CUST1170,312,1,103361.36,1,1,3,113,Lost,Mumbai,Male,Electronics
CUST1175,360,1,113673.3,1,1,3,113,Lost,Gaya,Female,Fashion
CUST1183,180,1,49324.8,3,1,2,312,Potential Loyalists,Gaya,Female,Furniture
CUST1189,125,1,36307.74,4,1,1,411,Potential Loyalists,Pune,Female,Fashion
CUST1197,324,1,5944.12,1,1,1,111,Lost,Pune,Male,Education
CUST1215,341,1,10367.0,1,1,1,111,Lost,Gaya,Male,Furniture
CUST1231,1,1,187087.76,5,1,4,514,Potential Loyalists,Patna,Male,Grocery
